"me caes muy bien",ELOGIO
"cómo vas con la tesis?",PREGUNTA
"tengo mucha hambre",OTRO
"Tú eres excelente",ELOGIO
"¿Cómo lo haces?",PREGUNTA
"La despertad del sueño ",OTRO
"Eres preciosa",ELOGIO
"¿Qué queres?",PREGUNTA
"Eso me interesa",OTRO
"tan bello como el sol",ELOGIO
"tienes hambre ?",PREGUNTA
"unico asi es nuestro amor",OTRO
"Tu ayuda me es útil",ELOGIO
"¿Ya llegó el agua?",PREGUNTA
"Estuve pensando mucho que responder",OTRO
"Eres una persona execional ",ELOGIO
"¿me lo dices a mi?",PREGUNTA
"Que divertido",OTRO
"Eres magia ",ELOGIO
"Cual es tu comida favorita?",PREGUNTA
"Los amaneceres son lo máximo",OTRO
"Qué lindos ojos tienes. ",ELOGIO
"¿Qué hiciste hoy? ",PREGUNTA
"Hoy vi una película. ",OTRO
"Hoy en un lindo día ",ELOGIO
"¿Estás bien?",PREGUNTA
"Mereces lo que sueñas ",OTRO
"la ULA es lo maximo ",ELOGIO
"algun dia nos graduaremos?",PREGUNTA
"me gusta mi carrera!!",OTRO
"Eres inteligente",ELOGIO
"Te pasa algo",PREGUNTA
"La cocina está limpia",OTRO
"Que música te guata? ",ELOGIO
"Como se llama tu amigo? ",PREGUNTA
"Tienes auto? ",OTRO
"Eres muy especial ",ELOGIO
"Como estas hoy?",PREGUNTA
"Es bueno hacer ejercicio",OTRO
"la curva más hermosa, tu sonrisa",ELOGIO
"y si te quedas por siempre?",PREGUNTA
"mi felicidad esta en un helado",OTRO
"Eres una persona muy pura",ELOGIO
"Te gusta la comida?",PREGUNTA
"Me gustaria conocer el mundo",OTRO
"Me gusta tu andar despacio",ELOGIO
"como te has sentido después del medicamento?",PREGUNTA
"He estado bastante nostalgica estos ultimos días",OTRO
"Eres una persona muy pura ",ELOGIO
"¿Te gusta mucho la musica?",PREGUNTA
"No me gusta bailar salsa",OTRO
"estas muy bella ",ELOGIO
"estas bien?",PREGUNTA
"no estoy",OTRO
"Eres muy organizado",ELOGIO
"Donde iras esta noche",PREGUNTA
"me encanta el helado",OTRO
"Dios nos ama a todos",ELOGIO
"te amas a ti mismo?",PREGUNTA
"ama cada dia es una oportunidad",OTRO
"Te felicito por tu conocimiento",ELOGIO
"Que es el verdadero amor",PREGUNTA
"En su presencia hay plenitud ",OTRO
"Esa ropa te queda perfecto",ELOGIO
"¿Te sientes bien?",PREGUNTA
"La películo duró dos horas",OTRO
"Eres muy inteligente",ELOGIO
"¿Cómo te llamas?",PREGUNTA
"Estaba de camino a casa",OTRO
"Que hermosura",ELOGIO
"Que haces ?",PREGUNTA
"La locura",OTRO
"¡Eres fantástica!",ELOGIO
"¿Estás preparado?",PREGUNTA
"Siempre amanece",OTRO
"eres grande ",ELOGIO
"de donde eres ",PREGUNTA
"el juego de beisbol",OTRO
"Cocinas muy rico",ELOGIO
"Que vamos a comer? ",PREGUNTA
"Me gustan los dulces",OTRO
"Eres una persona fantástica",ELOGIO
"Cómo te sientes está mañana?",PREGUNTA
"Deberías leer más sobre ese tema.cuabdo actuamos",OTRO
"Bonita",ELOGIO
"Cuando es tu grado?",PREGUNTA
"Vida",OTRO
"Tu ternura alegra mi existir",ELOGIO
"Que pasó en tu vida.?",PREGUNTA
"Un amanecer tranquilo ",OTRO
"Me encanta tu personalidad divertida.",ELOGIO
"¿Estás en busca de la felicidad?",PREGUNTA
"Todo está en tu mente.",OTRO
"Buen trabajo",ELOGIO
"Como va eso",PREGUNTA
"La vaca mariposa tuvo internet",OTRO
"Tu eres marico",ELOGIO
"¿Tu eres marico?",PREGUNTA
"You are marico",OTRO
"hola, que guapo estas hoy",ELOGIO
" ¿será qué llueve hoy?",PREGUNTA
"el gato tiene hambre",OTRO
"Eres un Ángel",ELOGIO
"Cómo estás?",PREGUNTA
"La vida es placentera",OTRO
"La película es buenísima.",ELOGIO
"¿Acaso tienes hambre?.",PREGUNTA
"¡Levántate y aplaude! Los artistas se lo merecen.",OTRO
"eres muy apuesto",ELOGIO
"recuerdas cuando nos conocimos",PREGUNTA
"me gusta mucho el chocolate",OTRO
"eres muy interesante",ELOGIO
"Donde vives tu",PREGUNTA
"Hoy es un dia lluvioso",OTRO
"Que hermoso esta tu cabello",ELOGIO
"Que edad tiene tu madre",PREGUNTA
"El almuerzo está listo",OTRO
"Te ves muy guapo",ELOGIO
"¿Como estas hoy?",PREGUNTA
"¡Que sopa tan rica!",OTRO
"Que linda estas hoy",ELOGIO
"Que vas a hacer hoy? ",PREGUNTA
"Vamos de paseo",OTRO
"Que intelintegente eres hijo mio",ELOGIO
"Hola como estas este dia? ",PREGUNTA
"Eres mi orgullo te amo ",OTRO
"Tu eres una persona espectacularCuá",ELOGIO
"Cuál es tu nombre?",PREGUNTA
"Me gustan los días lluviosos",OTRO
"Te quiero a mi lado ",ELOGIO
"En que pais vives",PREGUNTA
"Estoy feliz por mi cumpleaños",OTRO
"Que creativo eres ",ELOGIO
"quien eres",PREGUNTA
"Dios es amor",OTRO
"Eres muy inteligente ",ELOGIO
"¿Eres muy grande?",PREGUNTA
"Se siempre el mejor",OTRO
"Te estas portando muy bien",ELOGIO
"¿Que día es tu cumpleaños?",PREGUNTA
"Estoy en la casa trabajando",OTRO
"Bien hecho campeón",ELOGIO
"Cómo podría mejorar en programación",PREGUNTA
"Tengo bastante hambre hoy",OTRO
"Siempre me gusta ver viedos en la Pc",ELOGIO
"¿te gusta jugar en el Xbox?",PREGUNTA
"genial es hacer vídeos para Youtube ",OTRO
"linda",ELOGIO
"quiere",PREGUNTA
"siempre",OTRO
"Es un honor haber venido",ELOGIO
"¿Estas dispuesto a hacerlo?",PREGUNTA
" ¡Vaya que ha pasado tiempo!",OTRO
"Te ves bien",ELOGIO
"Qué fecha es hoy?",PREGUNTA
"hoy es domingo",OTRO
"¡Felicitaciones lo están haciendo bien!",ELOGIO
"¿Podría participar en su proyecto?",PREGUNTA
"La política del fracaso fracaso",OTRO
"te ves lindo",ELOGIO
"que dia es hoy",PREGUNTA
"mañana tengo mucho que hacer",OTRO
"Ella es extraordinaria",ELOGIO
"¿Te encuentres bien?",PREGUNTA
"La felicidad es el camino",OTRO
"me caes muy bien",ELOGIO
"cómo vas con la tesis?",PREGUNTA
"tengo mucha hambre",OTRO
"Que buen trabajo hizo. ",ELOGIO
"Eso debería ser así?",PREGUNTA
"Esto esta mal hecho.",OTRO
"Excelente trabajo de hoy.",ELOGIO
"¿Hice bien el programa?",PREGUNTA
"Estuvieron bien los ejercicios.",OTRO
"Que hermosa estás hoy",ELOGIO
"Qué hora es",PREGUNTA
"Las paredes son blancas",OTRO
"Tu ensalada está buena",ELOGIO
"Por qué maduro sigue siendo presidente",PREGUNTA
"Tengo dos gatos ",OTRO
