"Marca temporal","Escriba un frase corta con un elogio, máximo 5 palabras.","Escriba un frase corta en forma de pregunta, máximo 5 palabras.","Escriba un frase corta que sea diferente a las categorías anteriores, máximo 5 palabras","Escriba una frase que exprese un sentimiento positivo, mínimo 10 palabras","Escriba una frase que exprese un sentimiento negativo, mínimo 10 palabras","Escriba una frase que exprese un sentimiento neutral, mínimo 10 palabras"
"2018/04/21 2:18:48 p. m. GMT-4","me caes muy bien","cómo vas con la tesis?","tengo mucha hambre","Me siento muy afortunado de tenerte aquí justo a mi lado","Odio a aquellos profesores que creen sabérselas todas y son muy malos dando clases","El día de hoy se puede ir a hacer compras en el supermercado sin hacer mucha cola"
"2018/04/21 3:21:12 p. m. GMT-4","Tú eres excelente","¿Cómo lo haces?","La despertad del sueño ","Hoy quiero conquistar el mundo, tengo mucha energía y entusiasmo para hacerlo","Ya no vale la pena seguir intentando, puesto que no lo entenderán","Es un día normal, cómo cualquier otro para empezar de nuevo"
"2018/04/21 3:22:23 p. m. GMT-4","Eres preciosa","¿Qué queres?","Eso me interesa","La humanidad tiende siempre hacia el progreso, y aunque la mayoría de la gente dude de ello cada día estamos un poco mejor que el anterior.","Argentina lleva 70 años de decadencia, pasamos de ser de las 10 naciones más ricas del mundo a ser un país tercermundista más. ","La formula resolvente es menos b más menos raiz de b al cuadrado menos 4 por a por c todo sobre dos por a."
"2018/04/21 3:58:34 p. m. GMT-4","tan bello como el sol","tienes hambre ?","unico asi es nuestro amor","No dejare morir el resplandor que brota de mi alma","Si no estas a mi lado la tristeza llena mi corazon, soltando una extraña risa cuando sola yo estoy","No importa lo bueno o lo malo, si hace frio o calor ... Lo que importa es que aqui estoy"
"2018/04/21 5:42:05 p. m. GMT-4","Tu ayuda me es útil","¿Ya llegó el agua?","Estuve pensando mucho que responder","Mejor temprano que tarde, mejor tarde que nunca","Cualquier cosa hecha es inútil comparado al tamaño del universo","El poder se obtiene por la acción no por méritos"
"2018/04/21 7:57:56 p. m. GMT-4","Eres una persona execional ","¿me lo dices a mi?","Que divertido","Todos tus sueños se volverán realidad, solo ten de en ti mismo","Eres la peor persona que allá conocido jamás en la vida","Como te vaya me da igual, no me vengas a buscar"
"2018/04/21 7:58:21 p. m. GMT-4","Eres magia ","Cual es tu comida favorita?","Los amaneceres son lo máximo","Si lo puedes imaginar lo puedes manifestar ","Hay que conformarse con lo que sucede","Todo en la vida tiene un lado bueno y malo "
"2018/04/21 8:09:00 p. m. GMT-4","Qué lindos ojos tienes. ","¿Qué hiciste hoy? ","Hoy vi una película. ","Qué hermoso día. ","Qué asco de día. ","Todo está normal. "
"2018/04/21 8:13:12 p. m. GMT-4","Hoy en un lindo día ","¿Estás bien?","Mereces lo que sueñas ","Hoy es un Buen Día para hacer lo que amas ","Me da rabia que las personas juzguen sin bases previas ","Hoy comí pasta que preparó mi mama y mi perro se comió una parte "
